,Video Name,Thumbnail URL,Video ID,length,date published
425,All Goals from the First Leg of the Copa Libertadores | Round of 16 | beIN SPORTS USA,https://i.ytimg.com/vi/PaNMux8V8pc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBYUg3PjEb0oabgtxUbX1AGhPfYPA,PaNMux8V8pc,"5 minutes, 51 seconds",5 months ago
426,Cameroon vs Zambia | WAFCON HIGHLIGHTS | 07/03/22 | beIN SPORTS USA,https://i.ytimg.com/vi/UoCTnFYMaOg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBsDDcbEVLc5nq5kzk5lmVXsDVBSQ,UoCTnFYMaOg,"9 minutes, 51 seconds",5 months ago
427,Senegal vs Uganda | WAFCON HIGHLIGHTS | 07/03/22 | beIN SPORTS USA,https://i.ytimg.com/vi/5ztQVFMdvPQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBCNo2VkcYsDqUec1RDsQyBJDVbqw,5ztQVFMdvPQ,"8 minutes, 47 seconds",5 months ago
428,Morocco vs Burkina Faso | WAFCON HIGHLIGHTS | 07/02/22 | beIN SPORTS USA,https://i.ytimg.com/vi/7fnG3oVvC1I/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAmawv_B5bwRWGVlR29JGnw8mx7Og,7fnG3oVvC1I,"8 minutes, 25 seconds",5 months ago
429,Universidad Católica (CHI) vs São Paulo (BRA) | SUDAMERICANA HIGHLIGHTS | 06/30/22 | beIN SPORTS USA,https://i.ytimg.com/vi/7Ypqs39F_mU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAysoqbNn5Wt0BVUW4pwN8DbWWKFw,7Ypqs39F_mU,"11 minutes, 47 seconds",5 months ago
430,Olimpia (PAR) vs Atletico Goianiense (BRA) | SUDAMERICANA HIGHLIGHTS | 06/30/22 | beIN SPORTS USA,https://i.ytimg.com/vi/_PmjTZ-qxws/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLACgAZgnGCwX_GlMQygPAgIRRNQpg,_PmjTZ-qxws,"9 minutes, 28 seconds",5 months ago
431,Fortaleza (BRA) vs Estudiantes La Plata (ARG) | LIBERTADORES HIGHLIGHTS | 06/30/22 | beIN SPORTS USA,https://i.ytimg.com/vi/vmh1f1DjrfQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDZVmbbWPD1cwoos5W9KJVN8749vw,vmh1f1DjrfQ,"10 minutes, 9 seconds",5 months ago
432,Independiente del Valle (ECU) vs Lanús (ARG) | SUDAMERICANA HIGHLIGHTS | 06/30/22 | beIN SPORTS USA,https://i.ytimg.com/vi/uBOEB5Hj5NM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA6mN-qlN9uqKedtLtttJ5keRuofA,uBOEB5Hj5NM,"9 minutes, 57 seconds",5 months ago
433,Deportivo Táchira (VEN) - Santos (BRA) | SUDAMERICANA HIGHLIGHTS | 06/30/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/NUKVkwl1fRU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDPUDgCfwwxZ_guHAZ64RWabbR3Pw,NUKVkwl1fRU,"8 minutes, 51 seconds",5 months ago
434,Deportivo Cali (COL) vs Melgar (PER) | SUDAMERICANA HIGHLIGHTS | 06/29/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/uUWOUWcUAVA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBiJFx_RakywRwHWutPxB0R3i1Pjg,uUWOUWcUAVA,"9 minutes, 19 seconds",5 months ago
435,Deportes Tolima (COL) vs Flamengo (BRA) | LIBERTADORES HIGHLIGHTS | 06/29/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/iYYYI-vcp38/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCEBKLpqlUDxB6MHMmIwcOqePLCsQ,iYYYI-vcp38,"8 minutes, 40 seconds",5 months ago
436,Vélez Sarsfield (ARG) vs River Plate (ARG) | LIBERTADORES HIGHLIGHTS | 06/29/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/R6hIJIvJhpY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCpg2X4Zysl4mxcG_y7XHjNLZ1Y1w,R6hIJIvJhpY,"9 minutes, 43 seconds",5 months ago
437,Cerro Porteño (PAR) vs Palmeiras (BRA) | LIBERTADORES HIGHLIGHTS | 06/29/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/YRjAkgX95KY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCTQykLMoCwqr7RSO811--JAzKq4Q,YRjAkgX95KY,9 minutes,5 months ago
438,Talleres (ARG) vs Colón (ARG) | LIBERTADORES HIGHLIGHTS | 06/29/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/gDOcHtzLa0Q/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDo4x_S7lBrqb3Qb3GvwKoXfOb3oA,gDOcHtzLa0Q,"9 minutes, 13 seconds",5 months ago
439,The Strongest (BOL) vs Ceará (BRA) | SUDAMERICANA HIGHLIGHTS | 06/29/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/NpfkP7PNxTw/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBLnl4PUKP5s6eOe7Atbbq0GB0K_A,NpfkP7PNxTw,"7 minutes, 58 seconds",5 months ago
440,Colo Colo (CHI) vs Internacional (BRA) | COPA SUDAMERICANA | 06/28/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/dAdKfWZSsno/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBKvIht37j0nSN1IcxwVkH5sYWEQA,dAdKfWZSsno,10 minutes,5 months ago
441,Athletico Paranaense (BRA) vs Libertad (PAR) | COPA LIBERTADORES | 06/28/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/gosx5K_BnvU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLApe9SXPgCmsyrAwioFAOFkqXmOVg,gosx5K_BnvU,"8 minutes, 33 seconds",5 months ago
442,Corinthians (BRA) vs Boca Juniors (ARG) | COPA LIBERTADORES | 06/28/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/83eH9t1hpb8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBQGH0iMc9H95VuxtyzA-c50ltlhg,83eH9t1hpb8,"8 minutes, 4 seconds",5 months ago
443,Nacional (URU) vs Unión (ARG) | COPA SUDAMERICANA | 06/28/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/hSzDomDUToA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCq9ADcF-pg3DFVcO09olMnBRZgAg,hSzDomDUToA,"8 minutes, 13 seconds",5 months ago
444,Emelec (ECU) vs Atletico Mineiro (BRA) | COPA LIBERTADORES | 06/28/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/USop2U5QL5w/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCbrZZuNFBNQ-b6JUek74p2tl7BNA,USop2U5QL5w,"10 minutes, 9 seconds",5 months ago
445,France vs Cameroon | Women's Soccer Friendly | 06/25/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/yjiYoQV02aw/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDaljeLsFDtVomgxHBYBWRpT1gQFg,yjiYoQV02aw,"12 minutes, 7 seconds",5 months ago
446,Ellerstina Polo Club (ARG) vs Evviva St Moritz (SUI) | POLO RIDER CUP | 06/18/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/LXrFWU8lhJc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBhwtLnLWd3OeHHPRdny2qbiH6eRQ,LXrFWU8lhJc,"7 minutes, 57 seconds",5 months ago
447,Ellerstina Polo Club (ARG) vs Empire Polo Club (USA) | POLO RIDER CUP |06/16/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/cNBNbJQyuFw/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLArlv9T0ayfL7Hc0EslcmQoOpox_g,cNBNbJQyuFw,"12 minutes, 8 seconds",5 months ago
448,Evviva St Moritz (SUI) vs Chantilly (FRA) | POLO RIDER CUP HIGHLIGHTS |06/16/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/JGzHzRorv4w/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCGt-o89q5O0ZVcWMoi-vodojDxEA,JGzHzRorv4w,"11 minutes, 54 seconds",5 months ago
449,Alves confirms Barcelona departure  💙❤️,https://i.ytimg.com/vi/oK_TE9f2H7k/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AG-BIAC0AWKAgwIABABGDogXShyMA8=&rs=AOn4CLDVAF6qcjzetLBgpir0CJu06otHLw,oK_TE9f2H7k,"1 minute, 1 second",5 months ago
450,Africa Women's Cup of Nations 2022 | From July 2nd to 23rd | beIN SPORTS USA,https://i.ytimg.com/vi/ZuAndiAhEyQ/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgSShLMA8=&rs=AOn4CLBDmytqkuBjZ7IqGkl153I8HlA-Rg,ZuAndiAhEyQ,36 seconds,5 months ago
451,Liberia vs Morocco | AFCON 2023 QUALIFIERS HIGHLIGHTS | 06/13/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/4cLQ-zK9Q1I/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLApySFPnjqApDaXpkHCDWMTJHj34w,4cLQ-zK9Q1I,"7 minutes, 52 seconds",5 months ago
452,France vs Venezuela | MAURICE REVELLO TOURNAMENT HIGHLIGHTS | 06/12/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/bZn1VVdDLVY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCatcYTys34kGb2woQvZlTGJKj7ZA,bZn1VVdDLVY,"10 minutes, 2 seconds",6 months ago
453,Colombia vs México | MAURICE REVELLO TOURNAMENT HIGHLIGHTS | 06/12/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/GusTQSX8fEI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA-_TvWDYQ9CGVxWUlJIhkUrDJYEA,GusTQSX8fEI,"8 minutes, 53 seconds",6 months ago
454,FIFA cierra el caso Castillo; Ecuador jugará el Mundial de Catar 2022,https://i.ytimg.com/vi/DmYHlvWEYuA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLB7dcM6CIST9QieESrQznubeT0UsA,DmYHlvWEYuA,"1 minute, 55 seconds",6 months ago
455,Morocco vs South Africa | AFCON 2023 QUALIFIERS HIGHLIGHTS | 06/09/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/kxJpByPIkCY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDkIrwKYjEnad62t9tC08CXxHA5uw,kxJpByPIkCY,"9 minutes, 35 seconds",6 months ago
456,Lesotho vs Ivory Coast | AFCON 2023 QUALIFIERS HIGHLIGHTS | 06/09/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/Jw2m3dU_OGw/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBSuz9hjOCnosdFz-UfVGGihfbLOg,Jw2m3dU_OGw,"8 minutes, 16 seconds",6 months ago
457,Ethiopia vs Egypt | AFCON 2023 QUALIFIERS HIGHLIGHTS | 06/09/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/xlSrAHS3Yfs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDpuAigwjJxe4Ue9VSgzRhKSO0pWg,xlSrAHS3Yfs,"8 minutes, 39 seconds",6 months ago
458,France vs México | MAURICE REVELLO TOURNAMENT HIGHLIGHTS | 06/09/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/6RfV1mRYZdI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAnafHLfSvQqKSy_0WkimofY3Q-FA,6RfV1mRYZdI,"11 minutes, 38 seconds",6 months ago
459,South Sudan vs Mali | AFCON 2023 QUALIFIERS HIGHLIGHTS | 06/09/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/74FyyJsq-Lc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLB0iFso9YQuc_tgbhPmJStHz_mQwQ,74FyyJsq-Lc,"10 minutes, 56 seconds",6 months ago
460,Burundi vs Cameroon | AFCON 2023 QUALIFIERS HIGHLIGHTS | 06/09/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/Zca1qhLY5FA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBsT4FupSv95QAvvyyFnuxPg9lUIg,Zca1qhLY5FA,"8 minutes, 26 seconds",6 months ago
461,Venezuela vs Colombia | MAURICE REVELLO TOURNAMENT HIGHLIGHTS | 06/09/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/aTPaY8BoZME/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCcs5ljrV0GAhtUX4UT49RGHMgm0A,aTPaY8BoZME,"12 minutes, 34 seconds",6 months ago
462,Tanzania vs Algeria | AFCON 2023 QUALIFIERS HIGHLIGHTS | 06/08/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/bvNtd1SDYyE/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA2HtEZRtvYpNgm3ZuSTX3u3gVYJw,bvNtd1SDYyE,"8 minutes, 33 seconds",6 months ago
463,Gabon vs Mauritania | AFCON 2023 QUALIFIERS HIGHLIGHTS | 06/08/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/kVM_ibtO7hY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCHv6iqUyjIkEJNDIv_4pXy9KrMaA,kVM_ibtO7hY,"8 minutes, 25 seconds",6 months ago
